__IDX;code_s3ic;nom_ets;cd_postal;nomcommune;__CONFIDENCE;__ES_SCORE;__ID_QUERY;__ID_REF;__IS_MATCH;__THRESH;activiteprincipaleunitelegale__REF;caractereemployeuretablissement__REF;caractereemployeurunitelegale__REF;categorieentreprise__REF;categoriejuridiqueunitelegale__REF;codecommuneetablissement__REF;codepostaletablissement__REF;complementadresseetablissement__REF;datecreationetablissement__REF;datecreationunitelegale__REF;datedebut__REF;denominationunitelegale__REF;enseigne1etablissement__REF;etablissementsiege__REF;etatadministratifetablissement__REF;etatadministratifunitelegale__REF;libellecommuneetablissement__REF;libellevoieetablissement__REF;nic__REF;nicsiegeunitelegale__REF;nombreperiodesetablissement__REF;nomenclatureactiviteprincipaleetablissement__REF;nomenclatureactiviteprincipaleunitelegale__REF;nomusageunitelegale__REF;numerovoieetablissement__REF;sigleunitelegale__REF;siren__REF;siret__REF;statutdiffusionetablissement__REF;statutdiffusionunitelegale__REF;trancheeffectifsetablissement__REF;trancheeffectifsunitelegale__REF;typevoieetablissement__REF;x_adresse_complete__REF;x_nom_complet_unite_legale__REF;__SOURCE_GROUP
0;0030.12102;Commune de Dorlisheim;67120;DORLISHEIM;1.3425459879754;53.428898;0.0;233434;True;39.372646;84.11Z;N;O;PME;7210;67101;67120;MAIRIE;1989-01-01;1978-01-01;2008-01-01;COMMUNE DE DORLISHEIM;;false;A;A;DORLISHEIM;GRAND'RUE;00043;00019;3;NAFRev2;NAFRev2;;41;;216701011;21670101100043;O;O;NN;12;;41  GRAND'RUE;;
1;0030.12220;SMICTOM AC - Déchèterie 2;67140;BARR;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0030.12351;Garage STOETZEL;67250;PREUSCHDORF;1.19483815629557;47.36776;0.0;426919;True;39.372646;45.11Z;O;O;PME;5499;67379;67250;;1976-01-01;1976-01-01;2008-01-01;GARAGE STOETZEL;;true;A;A;PREUSCHDORF;HATTENWEG;00011;00011;4;NAFRev2;NAFRev2;;9;;309054211;30905421100011;O;O;01;01;RUE;9 RUE HATTENWEG;;
3;0030.13222;Agriculteur Biométhane Haguenau SAS;67670;WITTERSHEIM;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0030.13568;SCHITTER VITA COMPOST;67240;BISCHWILLER;1.60451103664355;64.17854;0.0;7215154;True;39.372646;38.32Z;O;O;PME;5499;67046;67240;;1996-06-01;1969-01-01;2014-02-28;SCHITTER VITA-COMPOST;;true;A;A;BISCHWILLER;DE L OBERMATT;00033;00033;7;NAFRev2;NAFRev2;;;;698500881;69850088100033;O;O;02;03;RUE;RUE DE L OBERMATT;;
5;0060.03770;Joseph CANO;87270;COUZEIX;1.28641621846115;51.125633;0.0;7826709;True;39.372646;68.20B;N;N;;6540;87050;87270;;2013-02-12;2013-02-12;2013-02-12;CANO;;true;A;A;COUZEIX;DU MAS SARRAZIN;00016;00016;1;NAFRev2;NAFRev2;;29;;791352651;79135265100016;O;O;;;IMP;29 IMP DU MAS SARRAZIN;;
6;0037.00240;SICTOM Pézenas-Agde - Déchèterie;34420;CERS;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0037.00243;SICTOM Pézenas-Agde - Decheterie;34720;CAUX;1.1531778684298;45.658245;0.0;1315728;True;39.372646;77.31Z;N;N;;6316;34063;34720;CHEZ RASIGADE CLAUDE;2018-06-20;1989-07-22;2018-06-20;CUMA LES TERRASSES DE PEZENAS;;true;A;A;CAUX;DU PUITS ALLIER;00030;00030;1;NAFRev2;NAFRev2;;49;;351814447;35181444700030;O;O;;;BD;49 BD DU PUITS ALLIER;;
8;0037.00296;SICTOM Pézenas-Agde - Déchèterie;34530;MONTAGNAC;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;0052.06662;SMBGD;24130;ST PIERRE D EYRAUD;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0052.09778;SMD3 - Dussac;24270;DUSSAC;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;0067.01184;SUEZ RV NORD EST (ex- VALOREST);67100;STRASBOURG;1.46434125049297;58.426723;0.0;5592603;True;39.372646;38.21Z;O;O;GE;5720;67482;67100;BATIMENT 1 - RDC;2015-06-30;2008-06-13;2018-01-01;SUEZ RV NORD EST;;false;A;A;STRASBOURG;DU ROHRSCHOLLEN;00832;00030;1;NAFRev2;NAFRev2;;13;;504726787;50472678700832;O;O;03;42;RTE;13 RTE DU ROHRSCHOLLEN;;
12;0067.04321;ECOLOCAR;67700;ECKARTSWILLER;1.14679867302406;45.396477;0.0;9210816;True;39.372646;45.32Z;O;O;PME;5710;67117;67700;RN 4;2015-10-06;2015-10-06;2016-03-18;ECOLOCAR;;true;A;A;ECKARTSWILLER;LA COLONNE;00010;00010;2;NAFRev2;NAFRev2;;;;815145446;81514544600010;O;O;01;01;;LA COLONNE;;
13;0062.00415;DUBOIS;54820;MARBACHE;1.11866714944998;44.24211;0.0;788957;True;39.372646;45.11Z;O;O;PME;5499;54351;54820;;1984-05-02;1984-05-02;2008-01-01;ETABLISSEMENTS PAUL DUBOIS;;true;A;A;MARBACHE;JEAN JAURES;00010;00010;4;NAFRev2;NAFRev2;;2;;329950034;32995003400010;O;O;01;01;RUE;2 RUE JEAN JAURES;;
14;0067.05842;SMIEOM de Bischwiller et Environs;67410;DRUSENHEIM;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;0067.05859;SMICTOM d'Alsace Centrale;67140;BARR;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0067.05864;SMICTOM d'Alsace Centrale;67220;NEUVE EGLISE;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;0067.03117;SMITOM DE HAGUENAU SAVERNE;67490;DETTWILLER;1.21598114565273;48.235355;0.0;4277706;True;39.372646;93.12Z;O;O;PME;9260;67089;67490;;2018-11-07;2001-02-15;2018-11-07;CLUB D'ESCRIME DE SAVERNE;;true;A;A;DETTWILLER;DE LA GARE;00035;00035;1;NAFRev2;NAFRev2;;22;;453052904;45305290400035;O;O;;NN;RUE;22 RUE DE LA GARE;;
18;0067.03687;Commune de la WANTZENAU;67610;LA WANTZENAU;1.39425732001898;55.550854;0.0;235001;True;39.372646;84.11Z;N;O;PME;7210;67519;67610;;1983-12-21;1978-01-01;2008-01-01;COMMUNE DE LA WANTZENAU;ECOLE MATERNELLE PUBLIQUE CENTRE;false;A;A;LA WANTZENAU;DES HEROS;00027;00019;3;NAFRev2;NAFRev2;;32;;216705194;21670519400027;O;O;11;21;RUE;32 RUE DES HEROS;;
19;0067.05989;COLMPAR AGGLOMERATION;68000;COLMAR;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;0067.04380;SUEZ RV NORD EST;67100;STRASBOURG;1.46434125049297;58.426723;0.0;5592603;True;39.372646;38.21Z;O;O;GE;5720;67482;67100;BATIMENT 1 - RDC;2015-06-30;2008-06-13;2018-01-01;SUEZ RV NORD EST;;false;A;A;STRASBOURG;DU ROHRSCHOLLEN;00832;00030;1;NAFRev2;NAFRev2;;13;;504726787;50472678700832;O;O;03;42;RTE;13 RTE DU ROHRSCHOLLEN;;
21;0067.04458;SICTOMME;67120;DUPPIGHEIM;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;0067.04461;SELECT'OM;67130;MUHLBACH SUR BRUCHE;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;0067.04775;STEPANIAN AUTOMOBILES (parc 45, 44, 43);67000;STRASBOURG;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;0067.04776;AGHRISS;67000;STRASBOURG;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;0067.04864;TRANSMETAUX;67360;BIBLISHEIM;1.15327166722537;45.662094;0.0;1629970;True;39.372646;38.32Z;O;O;PME;5499;67037;67360;;2010-05-01;1991-07-17;2011-12-31;TRANSMETAUX;;false;A;A;BIBLISHEIM;DE WALBOURG;00031;00023;3;NAFRev2;NAFRev2;;10;;383028982;38302898200031;O;O;12;12;RTE;10 RTE DE WALBOURG;;
26;0067.05470;CUS Déchetterie La Vigie;67540;OSTWALD;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;0067.05540;ARDALU (ex.SOBRAL);67240;BISCHWILLER;1.00315580274375;45.321255;1.0;774509;True;45.199783;24.42Z;O;O;PME;5499;67046;67240;;2017-11-20;1984-03-07;2008-01-01;SOCIETE ARDALU;;false;A;A;BISCHWILLER;DE L INDUSTRIE;00038;00020;1;NAFRev2;NAFRev2;;7;;329368955;32936895500038;O;O;;02;RUE;7 RUE DE L INDUSTRIE;;
28;0067.05677;SELECT'OM;67520;MARLENHEIM;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;0067.05678;SELECT'OM;67530;BOERSCH;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;0067.05840;SMIEOM;67770;SESSENHEIM;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;0067.05841;SMIEOM de Bischwiller et Environs;67240;BISCHWILLER;1.34022190287922;53.33353;0.0;1130375;True;39.372646;88.91A;O;O;PME;9260;67046;67240;;1998-11-01;1987-11-26;2016-01-01;CRECHE FAMILIALE BISCHWILLER ET ENVIRONS;;true;A;A;BISCHWILLER;DU CHATEAU;00025;00025;4;NAFRev2;NAFRev2;;6;;344237508;34423750800025;O;O;NN;NN;RUE;6 RUE DU CHATEAU;;
32;0067.06022;SMIEOM;67760;GAMBSHEIM;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;0067.06243;Déchetterie de la Robertsau;67000;STRASBOURG;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;0067.06245;Déchetterie Koenigshoffen;67000;STRASBOURG;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;0067.06679;Communauté de communes de Brumath;67170;BRUMATH;999.0;999.0;;233324;True;;84.11Z;N;O;PME;7210;67067;67170;;1983-12-21;1978-01-01;2008-01-01;COMMUNE DE BRUMATH;ECOL MATE ETABLISSEMENT CATHOL;false;A;A;BRUMATH;CHARLES DIEMER;00064;00015;3;NAFRev2;NAFRev2;;1;;216700674;21670067400064;O;O;03;22;RUE;1 RUE CHARLES DIEMER;;
36;0067.02091;Accessoires Pièces Autos;68000;COLMAR;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;0067.02240;COVED;68700;ASPACH MICHELBACH;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;0067.04202;HAUTE ALSACE RECYCLAGE;68050;MULHOUSE;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;0067.04392;Com Com région Guebwiller-STEP issenheim;68500;ISSENHEIM;1.40400971409558;55.95104;0.0;322009;True;39.372646;88.99B;N;N;;7361;68156;68500;MAIRIE;1995-12-25;1995-12-25;2008-01-01;CTRE COM ACTION SOCIALE ISSENHEIM;CCAS ISSENHEIM;true;A;A;ISSENHEIM;DE ROUFFACH;00015;00015;2;NAFRev2;NAFRev2;;2;;266801562;26680156200015;O;O;NN;NN;RUE;2 RUE DE ROUFFACH;;
40;0067.05258;EDIB;68270;WITTENHEIM;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
